feed_name,section,country,rss_link,source,continent
zol.com.cn,Tech,China,http://rss.zol.com.cn/news.xml,kaggle,Asia
zocalopublicsquare.org,News,United Kingdom,http://www.zocalopublicsquare.org/feed/,kaggle,Europe
zlinsky.denik.cz,News,Czech Republic,http://zlinsky.denik.cz/rss/z_regionu.html,kaggle,Europe
zive.cz,Tech,Czech Republic,http://www.zive.cz/system/RSS.xml,kaggle,Europe
ziuaconstanta.ro,News,Romania,"http://www.ziuaconstanta.ro/option,com_rd_rss/id,2.html",kaggle,Europe
ziare.com,News,Romania,http://www.ziare.com/rss/actualitate.xml,kaggle,Europe
zf.ro,Tech,Romania,http://www.zf.ro/rss/business-hi-tech/,kaggle,Europe
zf.ro,News,Romania,http://www.zf.ro/rss.xml,kaggle,Europe
zf.ro,Business,Romania,http://www.zf.ro/rss/business-international/,kaggle,Europe
zdnet.fr,Tech,France,http://www.zdnet.fr/feeds/rss/actualites/?l=20,kaggle,Europe
zdnet.com,Tech,Japan,http://feed.japan.zdnet.com/rss/index.rdf,kaggle,Asia
zdf.de,News,Germany,https://www.zdf.de/rss/zdf/nachrichten,kaggle,Europe
zap.aeiou.pt,News,Portugal,http://zap.aeiou.pt/feed,kaggle,Europe
yucatan.com.mx,News,Spain,http://yucatan.com.mx/feed,kaggle,Europe
youtube.com,News,United Kingdom,https://www.youtube.com/feeds/videos.xml?channel_id=UC52X5wxOL_s5yw0dQk7NtgA,kaggle,Europe
yourlocalguardian.co.uk,News,United Kingdom,http://www.yourlocalguardian.co.uk/news/local/kingstonnews/rss/,kaggle,Europe
yorkpress.co.uk,News,United Kingdom,http://www.yorkpress.co.uk/news/rss/,kaggle,Europe
yokoishikura.com,Business,Japan,http://yokoishikura.com/?feed=rss2,kaggle,Asia
ynet.co.il,Tech,Iceland,http://www.ynet.co.il/Integration/StoryRss544.xml,kaggle,Europe
ynet.co.il,Sport,Iceland,http://www.ynet.co.il/Integration/StoryRss3.xml,kaggle,Europe
ynet.co.il,News,Iceland,http://www.ynet.co.il/Integration/StoryRss2.xml,kaggle,Europe
yna.co.kr,News,United Kingdom,https://en.yna.co.kr/RSS/news.xml,kaggle,Europe
yle.fi,News,United Kingdom,http://yle.fi/uutiset/rss/uutiset.rss?osasto=news,kaggle,Europe
yahoo.com,Sport,United Kingdom,http://sports.yahoo.com/top/rss.xml,kaggle,Europe
yahoo.com,News,United Kingdom,http://rss.news.yahoo.com/rss/topstories,kaggle,Europe
yahoo.com,Finance,United Kingdom,http://finance.yahoo.com/rss/topstories,kaggle,Europe
y-mainichi.co.jp,News,Japan,http://www.y-mainichi.co.jp/feed/news/,kaggle,Asia
xinhuanet.com,World,China,http://www.xinhuanet.com/world/news_world.xml,kaggle,Asia
xinhuanet.com,Tech,China,http://www.xinhuanet.com/tech/news_tech.xml,kaggle,Asia
xinhuanet.com,News,China,http://www.xinhuanet.com/politics/news_politics.xml,kaggle,Asia
